SourcesPerBlock,TargetsPerBlock,BlockSize,SourceBlocksPerKernel,TargetBlocksPerKernel,iter0,iter1,iter2
1,100,256,100,100,1.72014,1.53683,1.49287
1,100,256,100,1000,1.70565,1.54375,1.49398
1,100,256,100,65535,1.6908,1.54761,1.50417
1,100,256,1000,100,1.68327,1.54376,1.49353
1,100,256,1000,1000,1.70234,1.55777,1.50738
1,100,256,1000,65535,1.69574,1.55816,1.50771
1,100,256,65535,100,1.72843,1.55804,1.50773
1,100,256,65535,1000,1.70404,1.5579,1.50834
1,100,256,65535,65535,1.69412,1.55828,1.50785
1,100,512,100,100,3.52517,1.86877,1.81152
1,100,512,100,1000,2.0627,1.86878,1.81176
1,100,512,100,65535,2.10879,1.86804,1.81164
1,100,512,1000,100,3.52415,1.86657,1.80963
1,100,512,1000,1000,2.06092,1.8668,1.80964
1,100,512,1000,65535,3.52251,1.86669,1.80926
1,100,512,65535,100,2.06022,1.86679,1.80948
1,100,512,65535,1000,2.08683,1.86686,1.8105
1,100,512,65535,65535,2.06014,1.86639,1.81005
1,1000,256,100,100,1.69327,1.55835,1.51196
1,1000,256,100,1000,2.69257,1.5556,1.51502
1,1000,256,100,65535,1.7009,1.5576,1.51269
1,1000,256,1000,100,1.71329,1.55654,1.51269
1,1000,256,1000,1000,1.69404,1.5565,1.51195
1,1000,256,1000,65535,1.7024,1.557,1.51326
1,1000,256,65535,100,2.68746,1.55419,1.51252
1,1000,256,65535,1000,1.69323,1.55854,1.51291
1,1000,256,65535,65535,1.71593,1.5562,1.51382
1,1000,512,100,100,2.05308,1.86569,1.81214
1,1000,512,100,1000,3.53438,3.17943,3.1052
1,1000,512,100,65535,2.04564,1.86699,1.81337
1,1000,512,1000,100,2.05988,1.86589,1.81184
1,1000,512,1000,1000,3.41348,1.86641,1.81241
1,1000,512,1000,65535,2.04941,1.86611,1.8126
1,1000,512,65535,100,2.05948,1.86587,1.81292
1,1000,512,65535,1000,2.05213,1.86525,1.81185
1,1000,512,65535,65535,2.04534,1.86579,1.81295
1,10000,256,100,100,2.94878,1.70605,1.65458
1,10000,256,100,1000,1.88602,1.71404,1.65923
1,10000,256,100,65535,3.11653,1.69735,1.66182
1,10000,256,1000,100,1.71713,1.58352,1.553
1,10000,256,1000,1000,2.76361,1.58574,1.5569
1,10000,256,1000,65535,1.75176,1.58964,1.55014
1,10000,256,65535,100,1.70838,1.58906,1.54896
1,10000,256,65535,1000,1.7106,1.59248,1.54837
1,10000,256,65535,65535,1.71701,1.58986,1.55236
1,10000,512,100,100,2.07811,1.88108,1.84191
1,10000,512,100,1000,2.12263,1.87889,1.83957
1,10000,512,100,65535,3.32499,1.88042,1.84602
1,10000,512,1000,100,2.06948,3.22497,1.84566
1,10000,512,1000,1000,3.73955,1.88105,1.84705
1,10000,512,1000,65535,2.07493,1.88058,1.848
1,10000,512,65535,100,2.11289,3.21686,1.84301
1,10000,512,65535,1000,2.07446,1.87883,1.84174
1,10000,512,65535,65535,3.60844,1.87848,1.84475
1,20000,256,100,100,1.8883,1.69403,1.65483
1,20000,256,100,1000,1.89464,1.69837,1.64976
1,20000,256,100,65535,1.91509,3.06117,1.66223
1,20000,256,1000,100,1.70971,1.59101,1.55791
1,20000,256,1000,1000,2.77099,1.58384,1.54709
1,20000,256,1000,65535,1.70969,1.60485,1.55421
1,20000,256,65535,100,1.71183,1.59676,1.55678
1,20000,256,65535,1000,1.73387,1.58855,1.55348
1,20000,256,65535,65535,2.77727,1.59111,1.54467
1,20000,512,100,100,2.07667,1.87963,1.8471
1,20000,512,100,1000,2.07778,1.87936,1.84211
1,20000,512,100,65535,3.60564,1.87902,1.84075
1,20000,512,1000,100,2.10779,1.87814,1.8427
1,20000,512,1000,1000,2.07054,1.87866,1.84123
1,20000,512,1000,65535,2.06902,1.87963,1.8474
1,20000,512,65535,100,2.07721,1.87906,1.84343
1,20000,512,65535,1000,3.59489,1.87918,1.84879
1,20000,512,65535,65535,2.10395,1.88027,1.84197
5,100,256,100,100,1.00451,0.92995,0.902583
5,100,256,100,1000,1.00882,0.930492,0.903017
5,100,256,100,65535,1.00926,0.930341,0.902768
5,100,256,1000,100,1.00762,0.930557,0.903398
5,100,256,1000,1000,1.00237,0.929929,0.903433
5,100,256,1000,65535,1.02747,1.65125,0.902058
5,100,256,65535,100,1.00286,0.929461,0.902661
5,100,256,65535,1000,0.996374,0.929702,0.902626
5,100,256,65535,65535,1.00801,0.930691,0.902374
5,100,512,100,100,1.13733,1.04294,1.01166
5,100,512,100,1000,1.14096,1.73076,1.01175
5,100,512,100,65535,1.14077,1.04304,1.01136
5,100,512,1000,100,1.17981,1.04367,1.0117
5,100,512,1000,1000,1.13994,1.04295,1.01188
5,100,512,1000,65535,1.14611,1.0427,1.01183
5,100,512,65535,100,1.13648,1.04307,1.01214
5,100,512,65535,1000,1.13123,1.04295,1.01187
5,100,512,65535,65535,1.14751,1.04293,1.01169
5,1000,256,100,100,1.04461,0.950932,0.92647
5,1000,256,100,1000,1.01934,0.952944,0.923531
5,1000,256,100,65535,1.00909,0.948097,0.924711
5,1000,256,1000,100,1.00293,0.948488,0.92758
5,1000,256,1000,1000,0.999994,0.95137,0.925236
5,1000,256,1000,65535,1.00366,0.950569,0.928319
5,1000,256,65535,100,1.01406,0.945884,0.925121
5,1000,256,65535,1000,1.03978,0.951441,0.925182
5,1000,256,65535,65535,1.01144,0.944289,0.930191
5,1000,512,100,100,1.13522,1.04526,1.02163
5,1000,512,100,1000,1.13461,1.04498,1.02317
5,1000,512,100,65535,1.13674,1.04551,1.02381
