SourcesPerBlock,TargetsPerBlock,TargetBlocksPerKernel,SmallClusterSize,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
3,100,100,1000,1.12667,1.00529,0.973868,0.964328,0.961432,0.957882,,,,
3,100,100,10000,1.08862,1.00486,0.972683,0.96957,0.969175,0.964893,,,,
3,100,100,100000,1.10572,1.014,0.982951,0.973655,0.97156,0.966694,,,,
3,100,1000,1000,1.10752,1.01437,0.982776,0.973926,0.970649,0.967592,,,,
3,100,1000,10000,1.10095,1.01506,0.983227,0.974262,0.971012,0.966863,,,,
3,100,1000,100000,1.1341,1.01419,0.982886,0.972887,0.970859,0.967932,,,,
3,100,10000,1000,1.10116,1.01498,0.983298,0.973227,0.970886,0.968265,,,,
3,100,10000,10000,1.09706,1.01452,0.982907,0.973524,0.970646,0.967837,,,,
3,100,10000,100000,1.09319,1.01501,0.982478,0.974457,0.971012,0.967358,,,,
3,100,65535,1000,1.10159,1.01527,0.983174,0.97386,0.970569,0.96842,,,,
3,100,65535,10000,1.13076,1.01497,0.983342,0.973664,0.970722,0.967948,,,,
3,100,65535,100000,1.09722,1.0145,0.982529,0.973678,0.970697,0.967168,,,,
3,1000,100,1000,1.10122,1.01906,0.996478,0.988143,0.985702,0.989628,,,,
3,1000,100,10000,1.10988,1.01843,0.996289,0.984303,0.989385,0.981123,,,,
3,1000,100,100000,1.10156,1.02163,0.995393,0.989143,0.98523,0.985844,,,,
3,1000,1000,1000,1.14264,1.01927,0.995685,0.984553,0.988807,0.987416,,,,
3,1000,1000,10000,1.09708,1.01654,0.993361,0.991686,0.985031,0.980791,,,,
3,1000,1000,100000,1.10296,1.01828,0.996284,0.986005,0.985318,0.982303,,,,
3,1000,10000,1000,1.09865,1.01762,0.997498,0.993717,0.984597,0.980994,,,,
3,1000,10000,10000,1.10743,1.01796,0.996865,0.98774,0.988276,0.97935,,,,
3,1000,10000,100000,1.1176,1.01819,1.00445,0.988284,0.987842,0.983632,,,,
3,1000,65535,1000,1.10995,1.01748,0.99595,0.991203,0.98769,0.984522,,,,
3,1000,65535,10000,1.10348,1.0206,0.999975,0.986778,0.986353,0.987724,,,,
3,1000,65535,100000,1.10691,1.01676,0.994734,0.989919,0.98308,0.981847,,,,
3,10000,100,1000,1.1552,1.06756,1.08207,1.08082,1.08796,1.07313,,,,
3,10000,100,10000,1.1887,1.07501,1.09323,1.0913,1.08026,1.06192,,,,
3,10000,100,100000,1.1734,1.06355,1.0785,1.06588,1.06685,1.04731,,,,
3,10000,1000,1000,1.14648,1.06277,1.08208,1.05774,1.08317,1.09105,,,,
3,10000,1000,10000,1.14887,1.05472,1.07655,1.08139,1.07296,1.06244,,,,
3,10000,1000,100000,1.15263,1.0701,1.09914,1.07646,1.07872,1.06535,,,,
3,10000,10000,1000,1.15962,1.06193,1.09521,1.05009,1.07889,1.04874,,,,
3,10000,10000,10000,1.16592,1.06269,1.06641,1.08617,1.07964,1.04957,,,,
3,10000,10000,100000,1.14769,1.06524,1.0782,1.09589,1.09425,1.06807,,,,
3,10000,65535,1000,1.16385,1.05657,1.08337,1.08653,1.06216,1.06577,,,,
3,10000,65535,10000,1.14361,1.06766,1.1091,1.07824,1.07172,1.06608,,,,
3,10000,65535,100000,1.16738,1.06727,1.07376,1.08389,1.07896,1.07626,,,,
3,20000,100,1000,1.15543,1.07223,1.08714,1.07678,1.09032,1.06124,,,,
3,20000,100,10000,1.16105,1.06591,1.08096,1.08651,1.0723,1.0711,,,,
3,20000,100,100000,1.16588,1.05379,1.0783,1.08817,1.0931,1.08481,,,,
3,20000,1000,1000,1.14767,1.06903,1.08812,1.08148,1.08094,1.06072,,,,
3,20000,1000,10000,1.18593,1.06755,1.08581,1.07568,1.05656,1.07949,,,,
3,20000,1000,100000,1.14845,1.05955,1.07581,1.07533,1.0886,1.08483,,,,
3,20000,10000,1000,1.15109,1.05888,1.06701,1.06242,1.05907,1.0624,,,,
3,20000,10000,10000,1.16754,1.06079,1.07751,1.09174,1.07754,1.06469,,,,
3,20000,10000,100000,1.15805,1.05553,1.06506,1.08112,1.07938,1.0671,,,,
3,20000,65535,1000,1.19296,1.06658,1.08587,1.06336,1.07024,1.0656,,,,
3,20000,65535,10000,1.17128,1.06554,1.08162,1.09544,1.06578,1.06601,,,,
3,20000,65535,100000,1.14803,1.06241,1.08381,1.07059,1.09087,1.06675,,,,
5,100,100,1000,1.00011,0.931657,0.904567,0.896327,0.893817,0.89074,,,,
5,100,100,10000,1.00386,0.931323,0.903858,0.895863,0.893285,0.890107,,,,
5,100,100,100000,1.02837,0.931527,0.904186,0.896629,0.894258,0.890651,,,,
5,100,1000,1000,1.01444,0.931106,0.903663,0.894678,0.893774,0.889997,,,,
5,100,1000,10000,1.00406,0.930121,0.903441,0.896661,0.893238,0.889648,,,,
5,100,1000,100000,1.00523,0.931426,0.904884,0.897397,0.8934,0.890221,,,,
5,100,10000,1000,1.00769,0.93015,0.903469,0.895716,0.892874,0.890828,,,,
5,100,10000,10000,1.02913,0.930547,0.903661,0.89515,0.893653,0.890075,,,,
5,100,10000,100000,1.00641,0.931127,0.903288,0.895458,0.893279,0.889743,,,,
5,100,65535,1000,1.00537,0.930789,0.903931,0.896757,0.893545,0.890927,,,,
5,100,65535,10000,1.00158,0.931866,0.904993,0.895905,0.893824,0.889764,,,,
5,100,65535,100000,1.00839,0.931157,0.903456,0.895773,0.893925,0.890473,,,,
5,1000,100,1000,1.0405,0.947568,0.923445,0.919256,0.915207,0.909009,,,,
5,1000,100,10000,1.01278,0.951698,0.926374,0.919438,0.912724,0.912439,,,,
5,1000,100,100000,1.01929,0.948303,0.928395,0.920635,0.914635,0.910924,,,,
5,1000,1000,1000,1.01275,0.947258,0.926257,0.917682,0.917762,0.910212,,,,
5,1000,1000,10000,1.01865,0.956653,0.929868,0.918463,0.912806,0.911931,,,,
5,1000,1000,100000,1.04322,0.948891,0.923634,0.919318,0.914708,0.911181,,,,
5,1000,10000,1000,1.01222,0.949834,0.926361,0.926788,0.911134,0.908366,,,,
5,1000,10000,10000,1.01956,0.954093,0.928217,0.919665,0.912813,0.909119,,,,
5,1000,10000,100000,1.01889,0.954836,0.926373,0.913437,0.914156,0.90895,,,,
5,1000,65535,1000,1.01008,0.950735,0.925135,0.918146,0.916204,0.912186,,,,
5,1000,65535,10000,1.03039,0.95297,0.924441,0.911872,0.910159,0.911848,,,,
5,1000,65535,100000,1.01185,0.948787,0.925904,0.922324,0.913325,0.909906,,,,
5,10000,100,1000,1.15471,1.034,0.961049,0.957076,0.948293,0.946732,,,,
5,10000,100,10000,1.15074,1.02691,0.955022,0.976846,0.942978,0.93975,,,,
5,10000,100,100000,1.12499,1.0301,0.956487,0.963423,0.943244,0.948242,,,,
5,10000,1000,1000,1.14773,1.05434,0.952042,0.960208,0.935977,0.943678,,,,
5,10000,1000,10000,1.13235,1.04632,0.963953,0.960697,0.936784,0.941479,,,,
5,10000,1000,100000,1.15118,1.03447,0.955064,0.96551,0.938647,0.944238,,,,
5,10000,10000,1000,1.14392,1.05327,0.954164,0.963205,0.945163,0.946168,,,,
5,10000,10000,10000,1.13563,1.03189,0.951869,0.97511,0.939096,0.937959,,,,
5,10000,10000,100000,1.15987,1.05614,0.963795,0.970846,0.942438,0.943393,,,,
